"gridg0","group.id","month","timegroups"
"87959","G2380123",7,"before 2000"
"87309","S17425589",8,"before 2000"
"87959","S36474001",8,"before 2000"
"339518","S43597814",8,"before 2000"
"360309","S52266530",10,"before 2000"
"359658","S52266952",10,"before 2000"
"360308","S52265329",10,"before 2000"
"360310","S52265849",10,"before 2000"
"359658","S52267581",10,"before 2000"
"360307","S52277863",10,"before 2000"
"360307","S52278269",10,"before 2000"
"359657","S52264723",10,"before 2000"
"53493","S23063516",10,"before 2000"
"53493","S23063338",10,"before 2000"
"53493","S23032032",10,"before 2000"
"53493","S23064980",10,"before 2000"
"53493","S23031110",10,"before 2000"
"53493","S23045567",10,"before 2000"
"53493","S23045461",10,"before 2000"
"53493","S23042760",10,"before 2000"
"53493","S23042772",10,"before 2000"
"334973","S43657095",10,"before 2000"
"287211","S96587766",11,"before 2000"
"287211","S96587908",11,"before 2000"
"287211","S96553095",11,"before 2000"
"287211","S96587231",11,"before 2000"
"52841","S38900166",11,"before 2000"
"71032","S57190416",11,"before 2000"
"71032","S38900170",11,"before 2000"
"71680","S57190417",11,"before 2000"
"199068","S40976703",11,"before 2000"
"294658","S96587905",11,"before 2000"
"294658","S96588020",11,"before 2000"
"294658","S96587390",11,"before 2000"
"294658","S96587765",11,"before 2000"
"53493","S23286968",11,"before 2000"
"53493","S23286770",11,"before 2000"
"53493","S23077987",11,"before 2000"
"53493","S23088864",11,"before 2000"
"53493","S23088753",11,"before 2000"
"53493","S23124492",11,"before 2000"
"53493","S23096690",11,"before 2000"
"53493","S23286866",11,"before 2000"
"53493","S24705101",11,"before 2000"
"53493","S23072691",11,"before 2000"
"53493","S23070432",11,"before 2000"
"53493","S26874320",11,"before 2000"
"329788","S96588022",11,"before 2000"
"329788","S96587906",11,"before 2000"
"329140","S96552851",11,"before 2000"
"292297","S96587904",11,"before 2000"
"86009","S36534869",12,"before 2000"
"40500","S16388769",12,"before 2000"
"40500","S16374674",12,"before 2000"
"40500","S16388547",12,"before 2000"
"25550","S16325659",12,"before 2000"
"71030","S38900178",12,"before 2000"
"71030","S57190426",12,"before 2000"
"71030","S38900181",12,"before 2000"
"71030","S57190422",12,"before 2000"
"71030","S57190423",12,"before 2000"
"71030","S38900180",12,"before 2000"
"294658","S96587762",12,"before 2000"
"53493","S23291657",12,"before 2000"
"53493","S23531298",12,"before 2000"
"53493","S23762349",12,"before 2000"
"53493","S23290409",12,"before 2000"
"53493","S23291513",12,"before 2000"
"53493","S23756379",12,"before 2000"
"53493","S23291252",12,"before 2000"
"53493","S23287090",12,"before 2000"
"86659","G2389106",1,"before 2000"
"86659","G2389108",1,"before 2000"
"86659","S39224604",1,"before 2000"
"86659","S39224618",1,"before 2000"
"86659","S39224573",1,"before 2000"
"191232","S19003556",1,"before 2000"
"294658","S16524069",1,"before 2000"
"288004","S37850877",1,"before 2000"
"53493","S23832094",1,"before 2000"
"53493","S23773725",1,"before 2000"
"53493","S24023539",1,"before 2000"
"53493","S24416949",1,"before 2000"
"53493","S23777819",1,"before 2000"
"53493","S24194314",1,"before 2000"
"53493","S23842199",1,"before 2000"
"53493","S24194383",1,"before 2000"
"53493","S23831905",1,"before 2000"
