"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"257",25,"Red Junglefowl","2013",2013,-3.18047954097506,0.0749702943162192
"258",25,"Red Junglefowl","2014",2014,-3.43161590742701,0.0766487398159285
"259",25,"Red Junglefowl","2015",2015,-3.40004078378745,0.0712860377269202
"260",25,"Red Junglefowl","2016",2016,-3.29070459713148,0.0702900239989286
"261",25,"Red Junglefowl","2017",2017,-3.19220206821572,0.106016202454913
"262",25,"Red Junglefowl","2018",2018,-3.34062075891174,0.0878229358831104
"263",25,"Red Junglefowl","2019",2019,-3.13305654995257,0.10326994655402
"264",25,"Red Junglefowl","2020",2020,-3.44074379326123,0.0927435212252472
"265",25,"Red Junglefowl","2021",2021,-3.1199921179596,0.0968220163654755
"266",25,"Red Junglefowl","2022",2022,-3.48058214422619,0.0676393428993594
"267",26,"Red Junglefowl","before 2000",1992,-3.34907709428722,0.118394102842442
"268",26,"Red Junglefowl","2000-2006",2003,-3.2900695869441,0.0715030383589956
"269",26,"Red Junglefowl","2007-2010",2009,-3.44190604988531,0.0991504778401608
"270",26,"Red Junglefowl","2011-2012",2012,-3.40039353749901,0.072218696823639
"271",26,"Red Junglefowl","2013",2013,-3.4267051791027,0.0806968018871392
"272",26,"Red Junglefowl","2014",2014,-3.52164978694035,0.111973503411306
"273",26,"Red Junglefowl","2015",2015,-3.19521834947609,0.0931504928847483
"274",26,"Red Junglefowl","2016",2016,-3.1139443645662,0.0968683055361939
"275",26,"Red Junglefowl","2017",2017,-3.33999915150198,0.0825082368339463
"276",26,"Red Junglefowl","2018",2018,-3.1818367645359,0.0719413576986135
"277",26,"Red Junglefowl","2019",2019,-3.47953917706572,0.0756387640917963
"278",26,"Red Junglefowl","2020",2020,-3.13788938718106,0.099629759985071
"279",26,"Red Junglefowl","2021",2021,-3.67053585040862,0.0833729340454715
"280",26,"Red Junglefowl","2022",2022,-3.47492129839871,0.0748898253101133
"281",27,"Red Junglefowl","before 2000",1992,-3.36454261996988,0.110144358064408
"282",27,"Red Junglefowl","2000-2006",2003,-3.11546801944596,0.106548548254059
"283",27,"Red Junglefowl","2007-2010",2009,-3.14349336323057,0.0979448508212987
"284",27,"Red Junglefowl","2011-2012",2012,-3.18902534942745,0.108500645555676
"285",27,"Red Junglefowl","2013",2013,-3.52898762529614,0.111194305852378
"286",27,"Red Junglefowl","2014",2014,-3.44838143949742,0.100258510451133
"287",27,"Red Junglefowl","2015",2015,-3.34004857753788,0.0913214903145799
"288",27,"Red Junglefowl","2016",2016,-3.67445059694165,0.0848096884289564
"289",27,"Red Junglefowl","2017",2017,-3.18397473895083,0.0775681038125953
"290",27,"Red Junglefowl","2018",2018,-3.43535200374243,0.0764113455997032
"291",27,"Red Junglefowl","2019",2019,-3.47450672063812,0.073406512709997
